,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.8822447102115916,0.8686594202898551,0.8753993610223643,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.16666666666666666,0.010416666666666666,0.0196078431372549,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.189873417721519,0.12931034482758622,0.15384615384615385,232.0
Happiness,0.34858681022880217,0.752906976744186,0.4765409383624655,344.0
accuracy,0.625,0.625,0.625,0.625
macro avg,0.1984214506035724,0.22016167606603676,0.19067428704602984,2000.0
weighted avg,0.5849813278518488,0.625,0.5849139954700194,2000.0
