,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,214.0
Anxiety,0.5537656061216271,0.9927797833935018,0.7109617373319546,2770.0
Desire,0.0,0.0,0.0,54.0
Disgust,0.0,0.0,0.0,34.0
Fear,0.08333333333333333,0.004347826086956522,0.008264462809917356,460.0
Happiness,0.2,0.025,0.04444444444444445,80.0
Relaxation,0.0,0.0,0.0,674.0
Sadness,0.0,0.0,0.0,714.0
accuracy,0.5508,0.5508,0.5508,0.5508
macro avg,0.10463736743187005,0.1277659511850573,0.09545883057328955,5000.0
weighted avg,0.31765281245804805,0.5508,0.3953442441715263,5000.0
