,precision,recall,f1-score,support
Anxiety,0.9731958762886598,0.7375,0.8391111111111113,1280.0
Fear,0.13953488372093023,0.057692307692307696,0.0816326530612245,104.0
Relaxation,0.25045372050816694,0.5948275862068966,0.3524904214559387,232.0
Sadness,0.28169014084507044,0.3448275862068966,0.31007751937984496,232.0
accuracy,0.6320346320346321,0.6320346320346321,0.6320346320346321,0.6320346320346321
macro avg,0.41121865534070684,0.4337118700265252,0.3958279262520299,1848.0
weighted avg,0.7487336176355045,0.6320346320346321,0.6689760716528633,1848.0
