,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,360.0
Anxiety,0.6370683579985905,0.8432835820895522,0.725812926535528,1072.0
Desire,0.0,0.0,0.0,80.0
Disgust,0.0,0.0,0.0,40.0
Fear,0.0,0.0,0.0,128.0
Happiness,0.0,0.0,0.0,128.0
Relaxation,0.21052631578947367,0.16176470588235295,0.18295218295218296,272.0
Sadness,0.3056558363417569,0.6614583333333334,0.41810699588477374,384.0
accuracy,0.4878246753246753,0.4878246753246753,0.4878246753246753,0.4878246753246753
macro avg,0.14415631376622765,0.2083133276631548,0.1658590131715606,2464.0
weighted avg,0.3480406975748622,0.4878246753246753,0.40113130577468864,2464.0
