,precision,recall,f1-score,support
Anxiety,0.5998696643857934,0.9969314079422382,0.7490337017698514,5540.0
Fear,0.0,0.0,0.0,920.0
Relaxation,0.1111111111111111,0.002225519287833828,0.004363636363636364,1348.0
Sadness,1.0,0.0014005602240896359,0.002797202797202797,1428.0
accuracy,0.5985275010827198,0.5985275010827198,0.5985275010827198,0.5985275010827198
macro avg,0.4277451938742261,0.25013937186354046,0.18904863523267262,9236.0
weighted avg,0.5306470028665086,0.5985275010827198,0.4503598197507106,9236.0
