,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,0.0
Anxiety,0.2,0.125,0.15384615384615385,8.0
Desire,0.2,0.125,0.15384615384615385,16.0
Disgust,0.2,0.03125,0.05405405405405406,32.0
Fear,0.0,0.0,0.0,0.0
Happiness,0.5555555555555556,0.3125,0.39999999999999997,16.0
Relaxation,0.0,0.0,0.0,40.0
Sadness,0.0,0.0,0.0,0.0
accuracy,0.08035714285714286,0.08035714285714286,0.08035714285714286,0.08035714285714286
macro avg,0.14444444444444446,0.07421875,0.09521829521829522,112.0
weighted avg,0.17936507936507937,0.08035714285714286,0.10555390555390555,112.0
