,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.9136276391554703,0.8623188405797102,0.8872320596458528,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.0,0.0,0.0,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.21176470588235294,0.07758620689655173,0.11356466876971608,232.0
Happiness,0.3424971363115693,0.8691860465116279,0.49137222678718157,344.0
accuracy,0.6345,0.6345,0.6345,0.6345
macro avg,0.18348618516867407,0.22613638674848624,0.18652111940034383,2000.0
weighted avg,0.5877966701417624,0.6345,0.5874416215091931,2000.0
