,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.9014084507042254,0.8695652173913043,0.8852005532503457,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.125,0.010416666666666666,0.019230769230769232,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.2549450549450549,0.5,0.33770014556040756,232.0
Happiness,0.34698275862068967,0.4680232558139535,0.3985148514851485,344.0
accuracy,0.6195,0.6195,0.6195,0.6195
macro avg,0.20354203303374624,0.23100064248399055,0.2050807899408339,2000.0
weighted avg,0.5988321256451175,0.6195,0.5981946305807975,2000.0
