,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.8902325581395348,0.8668478260869565,0.8783845800826068,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.0,0.0,0.0,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.2315270935960591,0.4051724137931034,0.2946708463949843,232.0
Happiness,0.35067437379576105,0.5290697674418605,0.42178447276940906,344.0
accuracy,0.6165,0.6165,0.6165,0.6165
macro avg,0.18405425319141938,0.22513625091524006,0.19935498740587504,2000.0
weighted avg,0.578581507243037,0.6165,0.5915970357037555,2000.0
