,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,80.0
Anxiety,0.5143824027072758,1.0,0.6793296089385474,304.0
Desire,0.0,0.0,0.0,8.0
Disgust,0.0,0.0,0.0,8.0
Fear,0.0,0.0,0.0,200.0
Happiness,0.0,0.0,0.0,32.0
Relaxation,0.382262996941896,0.5387931034482759,0.44722719141323797,232.0
Sadness,0.5413533834586466,0.45,0.4914675767918089,320.0
accuracy,0.4839527027027027,0.4839527027027027,0.4839527027027027,0.4839527027027027
macro avg,0.1797498478884773,0.2485991379310345,0.20225304714294928,1184.0
weighted avg,0.3532857672468738,0.4839527027027027,0.3948838970427099,1184.0
