,precision,recall,f1-score,support
Anxiety,0.6115241635687733,0.7126353790613719,0.6582194064688229,5540.0
Fear,0.6,0.013043478260869565,0.025531914893617016,920.0
Relaxation,0.0,0.0,0.0,1348.0
Sadness,0.18985507246376812,0.36694677871148457,0.2502387774594078,1428.0
accuracy,0.4854915547856215,0.4854915547856215,0.4854915547856215,0.4854915547856215
macro avg,0.35034480900813536,0.2731564090084315,0.23349752470546195,9236.0
weighted avg,0.45592863898324654,0.4854915547856215,0.4360508713459767,9236.0
