,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,392.0
Anxiety,0.5933609958506224,0.9533333333333334,0.731457800511509,600.0
Desire,0.0,0.0,0.0,56.0
Disgust,0.0,0.0,0.0,32.0
Fear,0.16981132075471697,0.0703125,0.09944751381215469,128.0
Happiness,0.0,0.0,0.0,120.0
Relaxation,0.373134328358209,0.2180232558139535,0.27522935779816515,344.0
Sadness,0.27887323943661974,0.7734375,0.40993788819875776,256.0
accuracy,0.4429460580912863,0.4429460580912863,0.4429460580912863,0.4429460580912863
macro avg,0.176897485550021,0.25188832364341085,0.18950907004007334,1928.0
weighted avg,0.2995343385985352,0.4429460580912863,0.33777331978024483,1928.0
