,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,88.0
Anxiety,0.6120218579234973,1.0,0.7593220338983051,448.0
Desire,0.0,0.0,0.0,16.0
Disgust,0.0,0.0,0.0,40.0
Fear,0.0,0.0,0.0,216.0
Happiness,0.0,0.0,0.0,24.0
Relaxation,0.39001560062402496,0.8680555555555556,0.5382131324004306,288.0
Sadness,0.4725274725274725,0.125,0.19770114942528735,344.0
accuracy,0.5061475409836066,0.5061475409836066,0.5061475409836066,0.5061475409836066
macro avg,0.18432061638437436,0.24913194444444445,0.1869045394655029,1464.0
weighted avg,0.3750408031959676,0.5061475409836066,0.384693202677639,1464.0
