,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,56.0
Anxiety,0.7136782423812899,0.9121376811594203,0.8007952286282306,1104.0
Desire,0.0,0.0,0.0,24.0
Disgust,0.0,0.0,0.0,8.0
Fear,0.6666666666666666,0.010416666666666666,0.020512820512820513,192.0
Happiness,0.0,0.0,0.0,40.0
Relaxation,0.21875,0.1810344827586207,0.19811320754716982,232.0
Sadness,0.3604060913705584,0.4127906976744186,0.3848238482384824,344.0
accuracy,0.5965,0.5965,0.5965,0.5965
macro avg,0.24493762505231437,0.1895474410323908,0.1755306381158379,2000.0
weighted avg,0.5453152375102082,0.5965,0.5331790309445047,2000.0
