,precision,recall,f1-score,support
Anger,0.02854230377166157,0.5,0.05400192864030858,56.0
Anxiety,0.5634920634920635,0.1286231884057971,0.2094395280235988,1104.0
Desire,0.0,0.0,0.0,24.0
Disgust,0.0,0.0,0.0,8.0
Fear,0.0,0.0,0.0,192.0
Happiness,0.01652892561983471,0.05,0.02484472049689441,40.0
Relaxation,0.12121212121212122,0.034482758620689655,0.053691275167785234,232.0
Sadness,0.16698292220113853,0.2558139534883721,0.20206659012629163,344.0
accuracy,0.134,0.134,0.134,0.134
macro avg,0.11209479203710243,0.12111498756435736,0.06800550530685984,2000.0
weighted avg,0.35495905074482414,0.134,0.1586032093020783,2000.0
