,precision,recall,f1-score,support
Anger,0.9760383386581469,0.9983660130718954,0.9870759289176091,1224.0
Anxiety,0.8735777496839444,0.6214028776978417,0.7262217551234894,1112.0
Desire,0.96045197740113,1.0,0.9798270893371758,1360.0
Disgust,1.0,1.0,1.0,944.0
Fear,0.8942486085343229,0.9796747967479674,0.9350145489815712,984.0
Happiness,0.9927007299270073,0.9927007299270073,0.9927007299270073,1096.0
Relaxation,0.8889816360601002,0.9309440559440559,0.9094790777113578,1144.0
Sadness,0.8383838383838383,0.913,0.8741024413595021,1000.0
accuracy,0.9303925992779783,0.9303925992779783,0.9303925992779783,0.9303925992779783
macro avg,0.9280478598310613,0.929511059173596,0.925552696419714,8864.0
weighted avg,0.9295604167718887,0.9303925992779783,0.926771795199706,8864.0
