,precision,recall,f1-score,support
Anxiety,0.5130784708249497,0.9659090909090909,0.6701708278580815,264.0
Fear,0.5294117647058824,0.046875,0.0861244019138756,192.0
Relaxation,0.36538461538461536,0.06785714285714285,0.1144578313253012,280.0
Sadness,0.5686695278969958,0.8952702702702703,0.6955380577427822,296.0
accuracy,0.5310077519379846,0.5310077519379846,0.5310077519379846,0.5310077519379846
macro avg,0.4941360947031108,0.493977876009126,0.39157277971001014,1032.0
weighted avg,0.49198996868848766,0.5310077519379846,0.41801205579936584,1032.0
