,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.8961646398503275,0.8677536231884058,0.8817303267372296,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.15,0.015625,0.02830188679245283,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.2222222222222222,0.3017241379310345,0.25594149908592323,232.0
Happiness,0.3422818791946309,0.5930232558139535,0.4340425531914894,344.0
accuracy,0.6175,0.6175,0.6175,0.6175
macro avg,0.20133359265839756,0.2222657521166742,0.2000020332258869,2000.0
weighted avg,0.5937331421966351,0.6175,0.5937766545339295,2000.0
