,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,80.0
Anxiety,0.5352622061482821,1.0,0.6972909305064783,296.0
Fear,0.6666666666666666,0.011904761904761904,0.023391812865497078,168.0
Relaxation,0.5072463768115942,0.10416666666666667,0.17283950617283952,336.0
Sadness,0.406570841889117,0.853448275862069,0.5507649513212796,232.0
accuracy,0.47751798561151076,0.47751798561151076,0.47751798561151076,0.47751798561151076
macro avg,0.423149218303132,0.3939039408866995,0.2888574401732189,1112.0
weighted avg,0.4812921141608474,0.47751798561151076,0.35627651328411153,1112.0
