,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.9060721062618596,0.865036231884058,0.8850787766450418,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.0,0.0,0.0,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.23943661971830985,0.14655172413793102,0.1818181818181818,232.0
Happiness,0.3445273631840796,0.8052325581395349,0.4825783972125436,344.0
accuracy,0.633,0.633,0.633,0.633
macro avg,0.18625451114553115,0.2271025642701905,0.1936844194594709,2000.0
weighted avg,0.5871851570115322,0.633,0.5926578781195296,2000.0
