,precision,recall,f1-score,support
Fear,0.5,0.7589285714285714,0.6028368794326241,224.0
Happiness,0.45454545454545453,0.034722222222222224,0.06451612903225808,144.0
Relaxation,0.2708333333333333,0.13541666666666666,0.18055555555555552,288.0
Sadness,0.5336658354114713,0.8916666666666667,0.6677067082683307,240.0
accuracy,0.47767857142857145,0.47767857142857145,0.47767857142857145,0.47767857142857145
macro avg,0.4397611558225648,0.45518353174603177,0.3789038180721921,896.0
weighted avg,0.4280517253943064,0.47767857142857145,0.3979636088816432,896.0
