,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,80.0
Anxiety,0.5161290322580645,1.0,0.6808510638297872,304.0
Desire,0.0,0.0,0.0,8.0
Disgust,0.0,0.0,0.0,8.0
Fear,0.0,0.0,0.0,200.0
Happiness,0.0,0.0,0.0,32.0
Relaxation,0.3723404255319149,0.4525862068965517,0.4085603112840467,232.0
Sadness,0.5399361022364217,0.528125,0.5339652448657187,320.0
accuracy,0.48817567567567566,0.48817567567567566,0.48817567567567566,0.48817567567567566
macro avg,0.17855069500330015,0.24758890086206897,0.20292207749744406,1184.0
weighted avg,0.3514068895654652,0.48817567567567566,0.3991837786986353,1184.0
