,precision,recall,f1-score,support
Relaxation,0.0,0.0,0.0,56.0
Anxiety,0.8884758364312267,0.8659420289855072,0.8770642201834863,1104.0
Fear,0.0,0.0,0.0,24.0
Sadness,0.0,0.0,0.0,8.0
Desire,0.1875,0.015625,0.028846153846153848,192.0
Anger,0.0,0.0,0.0,40.0
Disgust,0.2398843930635838,0.3577586206896552,0.28719723183391,232.0
Happiness,0.33274021352313166,0.5436046511627907,0.41280353200883,344.0
accuracy,0.6145,0.6145,0.6145,0.6145
macro avg,0.20607505537724277,0.22286628760474414,0.2007388922340475,2000.0
weighted avg,0.5934965680313915,0.6145,0.5912257667087676,2000.0
