,precision,recall,f1-score,support
Fear,0.4315245478036176,0.9488636363636364,0.5932504440497336,176.0
Happiness,0.2857142857142857,0.014705882352941176,0.027972027972027972,136.0
Relaxation,0.47058823529411764,0.06060606060606061,0.10738255033557047,264.0
Sadness,0.6681034482758621,0.9810126582278481,0.7948717948717949,316.0
accuracy,0.554932735426009,0.554932735426009,0.554932735426009,0.554932735426009
macro avg,0.46398262927197076,0.5012970593876216,0.3808692043072818,892.0
weighted avg,0.5046652993760078,0.554932735426009,0.4346914287276084,892.0
