,precision,recall,f1-score,support
Fear,0.47714285714285715,0.8608247422680413,0.6139705882352942,388.0
Happiness,0.3488372093023256,0.11363636363636363,0.1714285714285714,264.0
Relaxation,0.32,0.109375,0.16302765647743814,512.0
Sadness,0.6524908869987849,0.8661290322580645,0.7442827442827442,620.0
accuracy,0.5364349775784754,0.5364349775784754,0.5364349775784754,0.5364349775784754
macro avg,0.4496177383609919,0.4874912845406174,0.42317739010601196,1784.0
weighted avg,0.4739959651157451,0.5364349775784754,0.4643515653947235,1784.0
