,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,160.0
Anxiety,0.8399103139013453,0.8406642728904847,0.8402871242709736,2228.0
Desire,0.0,0.0,0.0,28.0
Disgust,0.0,0.0,0.0,20.0
Fear,0.0,0.0,0.0,360.0
Happiness,0.0,0.0,0.0,60.0
Relaxation,0.2665684830633284,0.34022556390977443,0.2989265070189926,532.0
Sadness,0.3128440366972477,0.5571895424836601,0.4007050528789659,612.0
accuracy,0.59875,0.59875,0.59875,0.59875
macro avg,0.17741535420774018,0.21725992241048991,0.19248983552111654,4000.0
weighted avg,0.5511487907051509,0.59875,0.5691050267429401,4000.0
