,precision,recall,f1-score,support
Fear,0.459552495697074,0.6480582524271845,0.5377643504531722,412.0
Happiness,0.26,0.33620689655172414,0.2932330827067669,232.0
Relaxation,0.2753623188405797,0.06375838926174497,0.10354223433242507,596.0
Sadness,0.615686274509804,0.8658088235294118,0.719633307868602,544.0
accuracy,0.4786995515695067,0.4786995515695067,0.4786995515695067,0.4786995515695067
macro avg,0.40265027226186445,0.4784580904425164,0.41354324384024155,1784.0
weighted avg,0.41967763654120704,0.4786995515695067,0.41635688268908166,1784.0
