,precision,recall,f1-score,support
Fear,0.3953488372093023,0.9239130434782609,0.5537459283387622,184.0
Happiness,0.52,0.06770833333333333,0.11981566820276497,192.0
Relaxation,0.2962962962962963,0.07407407407407407,0.11851851851851852,216.0
Sadness,0.6971279373368147,0.89,0.7818448023426062,300.0
accuracy,0.5224215246636771,0.5224215246636771,0.5224215246636771,0.5224215246636771
macro avg,0.47719326771060333,0.4889238627214171,0.393481229350663,892.0
weighted avg,0.49968897673492835,0.5224215246636771,0.4316673764709025,892.0
