,precision,recall,f1-score,support
Fear,0.4123867069486405,0.7583333333333333,0.5342465753424658,360.0
Happiness,0.3333333333333333,0.22666666666666666,0.2698412698412698,300.0
Relaxation,0.2857142857142857,0.006329113924050633,0.01238390092879257,632.0
Sadness,0.543141592920354,0.9979674796747967,0.7034383954154728,492.0
accuracy,0.46860986547085204,0.46860986547085204,0.46860986547085204,0.46860986547085204
macro avg,0.3936439797291534,0.49732414839971184,0.3799775353820003,1784.0
weighted avg,0.3902781988731801,0.46860986547085204,0.3515692062819945,1784.0
