,precision,recall,f1-score,support
Fear,0.47113163972286376,0.9807692307692307,0.6365054602184087,208.0
Happiness,0.5714285714285714,0.03225806451612903,0.06106870229007634,124.0
Relaxation,0.5384615384615384,0.09090909090909091,0.15555555555555556,308.0
Sadness,0.595,0.9444444444444444,0.7300613496932514,252.0
accuracy,0.531390134529148,0.531390134529148,0.531390134529148,0.531390134529148
macro avg,0.5440054374032435,0.5120952076597238,0.395797766939323,892.0
weighted avg,0.5433169033247224,0.531390134529148,0.4168746928735526,892.0
