,precision,recall,f1-score,support
Fear,0.39515151515151514,0.8956043956043956,0.5483599663582842,364.0
Happiness,0.4766355140186916,0.13010204081632654,0.20440881763527055,392.0
Relaxation,0.2717391304347826,0.05952380952380952,0.09765624999999999,420.0
Sadness,0.7171052631578947,0.8963815789473685,0.7967836257309941,608.0
accuracy,0.530829596412556,0.530829596412556,0.530829596412556,0.530829596412556
macro avg,0.465157855690721,0.49540295622297503,0.4118021649311372,1784.0
weighted avg,0.49372573306787404,0.530829596412556,0.4513404449057657,1784.0
