,precision,recall,f1-score,support
Fear,0.5202312138728323,0.8490566037735849,0.6451612903225806,212.0
Happiness,0.4166666666666667,0.0390625,0.07142857142857142,128.0
Relaxation,0.19230769230769232,0.04032258064516129,0.06666666666666667,248.0
Sadness,0.6307053941908713,1.0,0.7735368956743003,304.0
accuracy,0.5594170403587444,0.5594170403587444,0.5594170403587444,0.5594170403587444
macro avg,0.43997774175951565,0.48211042110468655,0.38919835602302977,892.0
weighted avg,0.4518487647989982,0.5594170403587444,0.445746188687853,892.0
