,precision,recall,f1-score,support
Fear,0.39185750636132316,0.9390243902439024,0.5529622980251346,164.0
Happiness,0.2222222222222222,0.011627906976744186,0.022099447513812154,172.0
Relaxation,0.27380952380952384,0.10087719298245613,0.14743589743589744,228.0
Sadness,0.7068965517241379,0.875,0.782016348773842,328.0
accuracy,0.5224215246636771,0.5224215246636771,0.5224215246636771,0.5224215246636771
macro avg,0.39869645102930173,0.4816323725507757,0.37612849793717157,892.0
weighted avg,0.4448178180039999,0.5224215246636771,0.4311700323561688,892.0
