,precision,recall,f1-score,support
Fear,0.3858093126385809,0.9666666666666667,0.5515055467511886,180.0
Happiness,0.3076923076923077,0.02,0.03755868544600939,200.0
Relaxation,0.2898550724637681,0.09803921568627451,0.14652014652014653,204.0
Sadness,0.7381615598885793,0.8603896103896104,0.7946026986506746,308.0
accuracy,0.5190582959641256,0.5190582959641256,0.5190582959641256,0.5190582959641256
macro avg,0.430379563170809,0.48627387318563786,0.38254676934200477,892.0
weighted avg,0.46801382627992966,0.5190582959641256,0.42759022037997024,892.0
