,precision,recall,f1-score,support
Fear,0.5698924731182796,0.8833333333333333,0.69281045751634,240.0
Happiness,0.21052631578947367,0.06666666666666667,0.10126582278481013,120.0
Relaxation,0.3275862068965517,0.06168831168831169,0.10382513661202186,308.0
Sadness,0.4669811320754717,0.8839285714285714,0.611111111111111,224.0
accuracy,0.4899103139013453,0.4899103139013453,0.4899103139013453,0.4899103139013453
macro avg,0.3937465319699442,0.4739042207792208,0.37725313200607075,892.0
weighted avg,0.4120377542064658,0.4899103139013453,0.3893424209680386,892.0
