,precision,recall,f1-score,support
Anger,0.0,0.0,0.0,196.0
Anxiety,0.77427087495006,0.8857404021937842,0.8262630569175016,2188.0
Desire,0.0,0.0,0.0,52.0
Disgust,0.0,0.0,0.0,48.0
Fear,0.0,0.0,0.0,352.0
Happiness,0.0,0.0,0.0,48.0
Relaxation,0.3041575492341357,0.24471830985915494,0.27121951219512197,568.0
Sadness,0.2945139557266602,0.5583941605839416,0.385633270321361,548.0
accuracy,0.59575,0.59575,0.59575,0.59575
macro avg,0.17161779748885697,0.2111066090796101,0.18538947992924806,4000.0
weighted avg,0.5070649525234825,0.59575,0.5433108208996071,4000.0
