,precision,recall,f1-score,support
Fear,0.3707865168539326,0.868421052631579,0.5196850393700788,152.0
Happiness,0.28,0.03977272727272727,0.06965174129353233,176.0
Relaxation,0.325,0.08024691358024691,0.12871287128712872,324.0
Sadness,0.5034802784222738,0.9041666666666667,0.646795827123696,240.0
accuracy,0.4282511210762332,0.4282511210762332,0.4282511210762332,0.4282511210762332
macro avg,0.3698166988190516,0.47315184003780497,0.341211369768609,892.0
weighted avg,0.37194486253715636,0.4282511210762332,0.32307713145586364,892.0
